1,"Abilene, TX",abilene,584,abilenetexas,191,,0,10180,170219
2,"Akron, OH",akron,4424,kent,647,akronoh,717,10420,703505
3,"Albany, GA",albanyga,184,,0,,0,10500,151434
4,"Albany, OR",albanyor,187,,0,,0,10540,125047
5,"Albany-Schenectady-Troy, NY",albany,8670,troy,2130,schenectady,1063,10580,886188
6,"Albuquerque, NM",albuquerque,13119,riorancho,394,,0,10740,913113
7,"Alexandria, LA",,0,,0,,0,10780,153984
8,"Allentown-Bethlehem-Easton, PA-NJ",lehighvalley,3075,allentown,391,bethlehem,371,10900,840550
9,"Altoona, PA",altoona,317,,0,,0,11020,123457
10,"Amarillo, TX",amarillo,1665,,0,,0,11100,264925
11,"Ames, IA",ames,1707,,0,,0,11180,97502
12,"Anchorage, AK",anchorage,5278,,0,,0,11260,400888
13,"Ann Arbor, MI",annarbor,12271,ypsilanti,389,,0,11460,367627
14,"Anniston-Oxford-Jacksonville, AL",annistonal,47,jacksonvilleal,30,oxfordal,20,11500,114728
15,"Appleton, WI",appleton,541,,0,,0,11540,236126
16,"Asheville, NC",asheville,13695,brevard,124,hendersonville,124,11700,456145
17,"Athens-Clarke County, GA",athens,5561,,0,,0,12020,209271
18,"Atlanta-Sandy Springs-Roswell, GA",atlanta,96415,marietta,1787,alpharetta,1465,12060,5884736
19,"Atlantic City-Hammonton, NJ",atlanticcity,972,hammonton,25,eht,14,12100,269918
20,"Auburn-Opelika, AL",auburn,5944,,0,,0,12220,161604
21,"Augusta-Richmond County, GA",augusta,2880,aiken,319,,0,12260,600151
22,"Austin-Round Rock, TX",austin,118204,sanmarcos,3587,roundrock,1733,12420,2115827
23,"Bakersfield, CA",bakersfield,4106,ridgecrest,187,,0,12540,893119
24,"Baltimore-Columbia-Towson, MD",baltimore,32566,annapolis,2640,columbiamd,2663,12580,2808175
25,"Bangor, ME",bangor,271,,0,,0,12620,151957
26,"Barnstable Town, MA",capecod,3249,provincetown,178,,0,12700,213444
27,"Baton Rouge, LA",batonrouge,6876,baton_rouge,495,,0,12940,834159
28,"Battle Creek, MI",battlecreek,237,,0,,0,12980,134128
29,"Bay City, MI",baycitymichigan,130,,0,,0,13020,104239
30,"Beaumont-Port Arthur, TX",beaumont,778,setx,992,,0,13140,412437
31,"Beckley, WV",beckleyonreddit,110,beckleywv,58,beckley,17,13220,118543
32,"Bellingham, WA",bellingham,9217,,0,,0,13380,221404
33,"Bend-Redmond, OR",bend,3927,redmondor,37,,0,13460,186875
34,"Billings, MT",billings,1072,,0,,0,13740,170498
35,"Binghamton, NY",binghamton,1222,owego,62,endicott,37,13780,242217
36,"Birmingham-Hoover, AL",birmingham,20383,birminghamal,296,hooveral,6,13820,1149807
37,"Bismarck, ND",bismarck,562,mandan,10,,0,13900,132142
38,"Blacksburg-Christiansburg-Radford, VA",blacksburg,1556,,0,,0,13980,182993
39,"Bloomington, IL",bloomingtonnormal,1194,,0,,0,14010,188232
40,"Bloomington, IN",bloomington,7306,,0,,0,14020,167825
41,"Bloomsburg-Berwick, PA",bloomsburg,143,,0,,0,14100,84204
42,"Boise, ID",boise,9525,nampa,141,,0,14260,709845
